segment,nombre_clients,recence_moyenne,frequence_moyenne,montant_moyen,panier_moyen,anciennete_moyenne,chiffre_affaires,part_clients_pct,part_ca_pct
Champions,10094,58.17,10.31,2492.14,214.55,526.65,25155674.3,20.57,64.29
Fidèles,5932,173.51,6.54,703.23,105.19,571.57,4171533.51,12.09,10.66
À risque,4713,487.01,4.86,676.25,137.86,831.94,3187152.91,9.61,8.15
Potentiels fidèles,5075,151.98,2.72,448.2,163.86,340.49,2274636.82,10.34,5.81
Hibernants,8171,507.63,1.64,250.79,181.93,604.82,2049245.88,16.65,5.24
Nouveaux prometteurs,5748,61.94,1.43,253.91,173.33,104.79,1459494.15,11.72,3.73
Perdus,6758,831.77,1.18,72.93,63.45,861.26,492836.7,13.77,1.26
Clients moyens,2570,202.42,1.79,130.74,108.24,280.34,336000.5,5.24,0.86
